cidufKey,cidufUpload,cidufPath,cidufFlLoad,cidufFlTbl,logChars
1,9,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2021\3 квартал\Дт Задолженность на 30.09.21 (Общий свод).xlsx,False,False,1787401
2,6,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2020\ДЕБИТОРКА на 2020-1231\Выгрузки\БхФ644_Дт Задолженность на 31.12.20 (Общий свод).xlsx,False,False,973967
3,7,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2021\1 квартал\21-0511\Дт Задолженность на 31.03.21 (Общий свод).xlsx,False,False,1102218
5,3,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2020\ДЕБИТОРКА на 2020-0630\Выгрузка из БУиРГ\Дебиторка на 30.06.2020.xlsx,True,False,1580296
6,8,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2021\2 квартал\Дт Задолженность на 30.06.21 (Общий свод).xlsx,False,False,1442877
7,2,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2020\ДЕБИТОРКА на 2020-0930\Выгрузки\Дт Задолженность на 30.09.20 (Общий свод)-2.xlsx,False,False,1171710
8,10,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2021\4 квартал\Дт Задолженность на 31.12.21 (Общий свод).xlsx,False,False,1353841
9,11,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2022\1 квартал\1_выгрузки\Дт Задолженность на 31.03.2022 (Общий свод)_с_правками_Бх.xlsx,False,False,1263238
10,12,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2022\2 квартал\Дт Задолженность на 30.06.2022 (Общий свод).xlsx,False,False,1569075
11,13,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2022\3 квартал\Отчет по Дебиторке крайний\Дт Задолженность на 30.09.2022 (Общий свод).xlsx,False,False,1238303
12,16,X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2022\4 квартал\Дт Задолженность на 31.12.2022 (Общий свод).xlsx,False,False,1514863
13,18,X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2023\1_квартал\1_выгрузки\Дт Задолженность на 31.03.2023 (Общий свод)_2.xlsx,False,False,1678293
14,19,X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2023\2_квартал\1_выгрузки\Дт Задолженность на 30.06.2023 (Общий свод)_sql.xlsx,False,False,1816440
15,20,X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2023\3_квартал\1_выгрузки\Дт Задолженность на 30.09.2023 (Общий свод)_sql.xlsx,False,False,1830102
16,21,X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2023\4_квартал\1_выгрузки\Дт Задолженность на 31.12.2023 (Общий свод).xlsx,False,False,1183263
17,23,X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2024\1_квартал\1_выгрузки\Дт Задолженность на 31.03.2024 (Общий свод)_замена_24-0422.xlsx,False,False,1232726
18,24,X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\2_квартал\1_выгрузки\Дт Задолженность на 30.06.2024 (Общий свод).xlsx,False,False,1446633
19,25,X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\3_квартал\1_выгрузки\Дт Задолженность на 30.09.2024 (Общий свод).xlsx,False,False,1703800
20,26,X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\4_квартал\1_выгрузки\Дт Задолженность на 31.12.2024 (Общий свод).xlsx,False,False,1157774
