"cidufsKey","cidufsFile","cidufsSheet","cidufsAccount","cidufsTest"
"1","1","606012","19","True"
"2","1","606022","21","True"
"3","1","761010","23","True"
"4","1","767501","28","True"
"5","1","762210","24","True"
"6","1","767502","29","True"
"7","2","606012","19","True"
"8","2","606022","21","True"
"9","2","761010","23","True"
"10","2","767501","28","True"
"11","2","762210","24","True"
"12","2","767502","29","True"
"13","3","606012","19","True"
"14","3","606022","21","True"
"15","3","761010","23","True"
"16","3","767501","28","True"
"17","3","762210","24","True"
"18","3","767502","29","True"
"19","5","606012","19","True"
"20","5","606022","21","True"
"21","5","761010","23","True"
"22","5","767501","28","True"
"23","5","762210","24","True"
"24","5","767502","29","True"
"31","6","606012","19","True"
"32","6","606022","21","True"
"33","6","761010","23","True"
"34","6","767501","28","True"
"35","6","762210","24","True"
"36","6","767502","29","True"
"37","7","606012","19","True"
"38","7","606022","21","True"
"39","7","761010","23","True"
"40","7","767501","28","True"
"41","7","762210","24","True"
"42","7","767502","29","True"
"43","8","606012","19","True"
"44","8","606022","21","True"
"45","8","761010","23","True"
"46","8","767501","28","True"
"47","8","762210","24","True"
"48","8","767502","29","True"
"49","9","606012","19","True"
"50","9","606022","21","True"
"51","9","761010","23","True"
"52","9","767501","28","True"
"53","9","762210","24","True"
"54","9","767502","29","True"
"55","10","606012","19","True"
"56","10","606022","21","True"
"57","10","761010","23","True"
"58","10","767501","28","True"
"59","10","762210","24","True"
"60","10","767502","29","True"
"61","11","606012","19","True"
"62","11","606022","21","True"
"63","11","761010","23","True"
"64","11","767501","28","True"
"65","11","762210","24","True"
"66","11","767502","29","True"
"73","12","606012","19","True"
"74","12","606022","21","True"
"75","12","761010","23","True"
"76","12","767501","28","True"
"77","12","762210","24","True"
"78","12","767502","29","True"
"79","13","606012","19","True"
"80","13","606022","21","True"
"81","13","761010","23","True"
"82","13","767501","28","True"
"83","13","762210","24","True"
"84","13","767502","29","True"
"85","14","606012","19","True"
"86","14","606022","21","True"
"87","14","761010","23","True"
"88","14","767501","28","True"
"89","14","762210","24","True"
"90","14","767502","29","True"
"91","15","606012","19","True"
"92","15","606022","21","True"
"93","15","761010","23","True"
"94","15","767501","28","True"
"95","15","762210","24","True"
"96","15","767502","29","True"
"103","16","606012","19","True"
"104","16","606022","21","True"
"105","16","761010","23","True"
"106","16","767501","28","True"
"107","16","762210","24","True"
"108","16","767502","29","True"
"109","17","606012","19","True"
"110","17","606022","21","True"
"111","17","761010","23","True"
"112","17","767501","28","True"
"113","17","762210","24","True"
"114","17","767502","29","True"
"115","18","606012","19","True"
"116","18","606022","21","True"
"117","18","761010","23","True"
"118","18","767501","28","True"
"119","18","762210","24","True"
"120","18","767502","29","True"
"127","19","606012","19","True"
"128","19","606022","21","True"
"129","19","761010","23","True"
"130","19","767501","28","True"
"131","19","762210","24","True"
"132","19","767502","29","True"
"133","20","606012","19","True"
"134","20","606022","21","True"
"135","20","761010","23","True"
"136","20","767501","28","True"
"137","20","762210","24","True"
"138","20","767502","29","True"
