"FindDbtNum","cidutAccount","cidutCntrPrtNum","cidutCntrPrtName","cidutCntrPrtITN","cidutCnName","cidutCnDate","cidutCnInv","cidutCnInvName","cidutFormtnDate","cidutMatrtyDate","cidutDebt","cidutDebtOverdue","cidutDoc","cidutLink","cidutSheet","cidutSheetNum","cidutUnloadKey","cidutCnDateNull","cidutCnNameNull","cidutCnInvNull","cidutCnInvNameNull"
"1","19","280","ООО ГАЗПРОМ ГЕОТЕХНОЛОГИИ","7719002546","25/1303/23","31.08.2023","65104",,"19.06.2024","31.12.2025","177379963,33","0",,,"133","1","26","31.08.2023","25/1303/23","65104","NullИлиПусто"
"2","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","21.08.2019","103836",,"26.10.2022","31.12.2024","3085000","0",,,"133","2","26","21.08.2019","1","103836","NullИлиПусто"
"3","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","21.08.2019","104866",,"26.10.2022","31.12.2024","2015143,2","0",,,"133","3","26","21.08.2019","1","104866","NullИлиПусто"
"4","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","21.08.2019","105431",,"26.10.2022","31.12.2024","4692214,2","0",,,"133","4","26","21.08.2019","1","105431","NullИлиПусто"
"5","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","21.08.2019","11167",,"20.03.2020","31.12.2024","0,01","0",,,"133","5","26","21.08.2019","1","11167","NullИлиПусто"
"6","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","21.08.2019","124167",,"09.12.2022","31.12.2024","3573333,33","0",,,"133","6","26","21.08.2019","1","124167","NullИлиПусто"
"7","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","21.08.2019","124177",,"09.12.2022","31.12.2024","18906217,05","0",,,"133","7","26","21.08.2019","1","124177","NullИлиПусто"
"8","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","21.08.2019","126554",,"15.11.2024","31.12.2025","34190000","0",,,"133","8","26","21.08.2019","1","126554","NullИлиПусто"
"9","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","25.04.2016","126555",,"15.11.2024","31.12.2025","100000000","0",,,"133","9","26","25.04.2016","1","126555","NullИлиПусто"
"10","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","25.04.2016","126641",,"15.11.2024","31.12.2025","15833333,33","0",,,"133","10","26","25.04.2016","1","126641","NullИлиПусто"
"11","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","25.04.2016","126651",,"15.11.2024","31.12.2025","53333333,33","0",,,"133","11","26","25.04.2016","1","126651","NullИлиПусто"
"12","19","1000139","ООО ГАЗПРОМ ПРОЕКТИРОВАНИЕ","0560022871","1","21.08.2019","126652",,"15.11.2024","31.12.2025","33333333,33","0",,,"133","12","26","21.08.2019","1","126652","NullИлиПусто"
