"cipufKey","cipufUpload","cipufPath","cipufFlLoad","cipufFlTbl","cipufSheet"
"1","7","X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2021\3 квартал\21-1027_БУиРГ_export_17-06.XLSX","False","False","Sheet1"
"2","8","X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2021\4 квартал\22-0211_export.XLSX","False","False","Sheet1"
"3","9","X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2022\1 квартал\1_выгрузки\export_22-0422.XLSX","False","False","Sheet1"
"4","10","X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2022\2 квартал\export_22-0726.XLSX","False","False","Sheet1"
"5","11","X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2022\3 квартал\Отчет по Дебиторке краткий\22-1024_export_BUIRG.XLSX","False","False","Sheet1"
"6","12","X:\GRP\F644\PTU\Отдел сводно-аналитической информации\Дебиторка\2022\4 квартал\export_23-0207.xlsx","False","False","Лист1"
"7","13","X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2023\1_квартал\1_выгрузки\export_23-0420.XLSX","False","False","Sheet1"
"8","14","X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2023\2_квартал\1_выгрузки\export_23-0721.XLSX","False","False","Sheet1"
"9","15","X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2023\3_квартал\1_выгрузки\export_23-1019.XLSX","False","False","Sheet1"
"10","16","X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2023\4_квартал\1_выгрузки\export_24-0130.XLSX","False","False","Sheet1"
"11","17","X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2024\1_квартал\1_выгрузки\export_24-0423_606012.XLSX","False","False","Sheet1"
"12","18","X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2024\1_квартал\1_выгрузки\export_24-0423_606022.XLSX","False","False","Sheet1"
"13","19","X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2024\1_квартал\1_выгрузки\export_24-0423_761010.XLSX","False","False","Sheet1"
"14","20","X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2024\1_квартал\1_выгрузки\export_24-0423_767501.XLSX","False","False","Sheet1"
"15","21","X:\GRP\F644\Отдел сводно-аналитической информации\Дебиторка\2024\1_квартал\1_выгрузки\export_24-0423_767502.XLSX","False","False","Sheet1"
"16","22","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\2_квартал\1_выгрузки\export_24-0722_606012.XLSX","False","False","Sheet1"
"17","23","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\2_квартал\1_выгрузки\export_24-0722_606022.XLSX","False","False","Sheet1"
"18","24","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\2_квартал\1_выгрузки\export_24-0723_761010.XLSX","False","False","Sheet1"
"19","25","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\2_квартал\1_выгрузки\export_24-0723_767501.XLSX","False","False","Sheet1"
"20","26","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\2_квартал\1_выгрузки\export_24-0723_767502.XLSX","False","False","Sheet1"
"21","27","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\3_квартал\1_выгрузки\export_24-1021_606012.XLSX","False","False","Sheet1"
"22","28","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\3_квартал\1_выгрузки\export_24-1021_606022.XLSX","False","False","Sheet1"
"23","29","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\3_квартал\1_выгрузки\export_24-1021_761010.XLSX","False","False","Sheet1"
"24","30","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\3_квартал\1_выгрузки\export_24-1021_767501.XLSX","False","False","Sheet1"
"25","31","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\3_квартал\1_выгрузки\export_24-1022_767502.XLSX","False","False","Sheet1"
"26","32","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\4_квартал\1_выгрузки\export_606012_25-0124.XLSX","False","False","Sheet1"
"27","33","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\4_квартал\1_выгрузки\export_606022_25-0124.XLSX","False","False","Sheet1"
"28","34","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\4_квартал\1_выгрузки\export_761010_25-0124.XLSX","False","False","Sheet1"
"29","35","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\4_квартал\1_выгрузки\export_767501_25-0124.XLSX","False","False","Sheet1"
"30","36","X:\grp\F644\Отдел сводно-аналитической информации\Дебиторка\2024\4_квартал\1_выгрузки\export_767502_25-0124.XLSX","False","False","Sheet1"
